PeakID (cmd=annotatePeaks.pl /home/jerry/Documentos/Python3.10/prueba/datos/Sanchez_et_al_peaks.narrowPeak mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Sanchez_et_al_peak_870	chr15	59615366	59615562	+	122	NA	Intergenic	Intergenic	-33190	NM_144549	211770	Mm.40298	NM_144549	ENSMUSG00000032501	Trib1	A530090O15Rik|TRB-1|Trb1	tribbles pseudokinase 1	protein-coding
Sanchez_et_al_peak_1756	chr4	119142305	119142446	+	121	NA	Intergenic	B3|SINE|B2	31481	NM_183140	195522	Mm.169620	NM_183140	ENSMUSG00000045268	Zfp691	6430544H17Rik|Znf691	zinc finger protein 691	protein-coding
Sanchez_et_al_peak_402	chr11	78550846	78550993	+	121	NA	promoter-TSS (NM_133706)	promoter-TSS (NM_133706)	-184	NM_133706	69071	Mm.29431	NM_133706	ENSMUSG00000037278	Tmem97	1810014L12Rik|AI115531|AL022956|D11Bhm182e	transmembrane protein 97	protein-coding
Sanchez_et_al_peak_2391	chr8	3481655	3481826	+	121	NA	intron (NM_029598, intron 4 of 8)	RLTR12A|LTR|ERVK	10878	NM_029598	76406	Mm.74996	NM_029598	ENSMUSG00000040340	Tex45	1700019B03Rik	testis expressed 45	protein-coding
Sanchez_et_al_peak_50	chr1	86435573	86435753	+	121	NA	Intergenic	Intergenic	9334	NM_027966	71863	Mm.179627	NM_027966	ENSMUSG00000036574	Tex44	1700019O17Rik	testis expressed 44	protein-coding
Sanchez_et_al_peak_416	chr11	84028738	84028897	+	121	NA	intron (NM_194341, intron 18 of 19)	intron (NM_194341, intron 18 of 19)	39540	NM_019819	56405	Mm.240885	NM_019819	ENSMUSG00000018648	Dusp14	1110014C10Rik|2310042C07Rik|D11Ertd395e|MKP-L|Mkp6	dual specificity phosphatase 14	protein-coding
Sanchez_et_al_peak_2334	chr7	115858597	115858743	+	121	NA	intron (NM_001025559, intron 2 of 15)	intron (NM_001025559, intron 2 of 15)	-12530	NM_001277326	20679	Mm.323365	NM_011445	ENSMUSG00000051910	Sox6	AI987981|SOX-LZ	SRY (sex determining region Y)-box 6	protein-coding
Sanchez_et_al_peak_283	chr10	127041867	127042001	+	120	NA	promoter-TSS (NM_010792)	promoter-TSS (NM_010792)	2	NM_010792	17299	Mm.251593	NM_010792	ENSMUSG00000006732	Mettl1	2810012D02Rik	methyltransferase like 1	protein-coding
Sanchez_et_al_peak_981	chr16	8637466	8637645	+	120	NA	promoter-TSS (NM_016881)	promoter-TSS (NM_016881)	-58	NM_001362486	66690	Mm.10068	NM_025708	ENSMUSG00000043140	Tmem186	2810440M13Rik|4432406C05Rik|AI648175|AW210586	transmembrane protein 186	protein-coding
Sanchez_et_al_peak_1509	chr2	154655996	154656143	+	120	NA	promoter-TSS (NM_029362)	promoter-TSS (NM_029362)	-957	NM_029362	75608	Mm.262480	NM_029362	ENSMUSG00000038467	Chmp4b	2010012F05Rik|C76846|Snf7-2	charged multivesicular body protein 4B	protein-coding
Sanchez_et_al_peak_2575	chr9	62363832	62363998	+	120	NA	intron (NM_009672, intron 1 of 6)	CpG	22572	NM_009672	11737	Mm.269088	NM_009672	ENSMUSG00000032249	Anp32a	Anp32|I1PP2A|LANP|PHAP1|W91701|pp32	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	protein-coding
Sanchez_et_al_peak_2585	chr9	65760125	65760422	+	120	NA	intron (NM_172536, intron 2 of 9)	intron (NM_172536, intron 2 of 9)	67291	NM_172536	214812	Mm.139231	NM_172536	ENSMUSG00000040524	Zfp609	9830165N24|BC016271|Znf609|mKIAA0295	zinc finger protein 609	protein-coding
Sanchez_et_al_peak_2550	chr9	45121905	45122085	+	120	NA	intron (NM_001014761, intron 1 of 3)	intron (NM_001014761, intron 1 of 3)	4119	NM_001014761	72821	Mm.229373	NM_001014761	ENSMUSG00000070304	Scn2b	2810451E09Rik|AI840361|Gm183	sodium channel, voltage-gated, type II, beta	protein-coding
Sanchez_et_al_peak_1762	chr4	123260173	123260354	+	120	NA	Intergenic	Intergenic	-22648	NM_001356377	230721	Mm.277091	NM_130881	ENSMUSG00000011257	Pabpc4	-	poly(A) binding protein, cytoplasmic 4	protein-coding
Sanchez_et_al_peak_2077	chr6	72438805	72439089	+	120	NA	non-coding (NR_046011, exon 1 of 1)	non-coding (NR_046011, exon 1 of 1)	264	NR_046011	78108	Mm.440743	NR_046011	ENSMUSG00000108591	Particl	4930414L22Rik|AI449819	promoter of Mat2a antisense radiation induced circulating long non-coding RNA	ncRNA
Sanchez_et_al_peak_495	chr11	112786657	112786802	+	120	NA	3' UTR (NM_011448, exon 3 of 3)	3' UTR (NM_011448, exon 3 of 3)	4519	NM_011448	20682	Mm.286407	NM_011448	ENSMUSG00000000567	Sox9	2010306G03Rik|AV220920|mKIAA4243	SRY (sex determining region Y)-box 9	protein-coding
Sanchez_et_al_peak_2669	chrX	103493565	103493911	+	120	NA	intron (NR_015508, intron 1 of 2)	CpG	180	NR_015508	70252	Mm.380486	NR_015508	ENSMUSG00000097571	Jpx	2010000I03Rik|2510040I06Rik|Enox	Jpx transcript, Xist activator (non-protein coding)	ncRNA
Sanchez_et_al_peak_461	chr11	98750442	98750713	+	120	NA	intron (NM_178060, intron 1 of 8)	intron (NM_178060, intron 1 of 8)	8792	NM_001313983	21833	Mm.265917	NM_178060	ENSMUSG00000058756	Thra	6430529J03Rik|AW259572|Erba|Nr1a1|Rvr|T3R[a]|T3Ralpha|Thra1|Thra2|c-erbA-1|c-erbA-alpha|c-erbAalpha	thyroid hormone receptor alpha	protein-coding
Sanchez_et_al_peak_2623	chr9	96873146	96873331	+	120	NA	intron (NM_001289645, intron 1 of 6)	intron (NM_001289645, intron 1 of 6)	16236	NM_001289645	235534	Mm.233031	NM_153420	ENSMUSG00000043587	Pxylp1	9430094M07Rik|Acpl2|BB177120|C130099A20Rik	2-phosphoxylose phosphatase 1	protein-coding
Sanchez_et_al_peak_1232	chr18	61534679	61534828	+	120	NA	intron (NM_177828, intron 1 of 12)	intron (NM_177828, intron 1 of 12)	1783	NM_177828	328967	Mm.488098	NM_177828	ENSMUSG00000045094	Arhgef37	4933429F08Rik	Rho guanine nucleotide exchange factor (GEF) 37	protein-coding
Sanchez_et_al_peak_1609	chr3	88422036	88422249	+	120	NA	intron (NM_001281795, intron 1 of 3)	intron (NM_001281795, intron 1 of 3)	2999	NM_001281795	229517	Mm.301740	NM_178696	ENSMUSG00000050144	Slc25a44	6720482A19|B430110G05Rik	solute carrier family 25, member 44	protein-coding
Sanchez_et_al_peak_1840	chr4	155802749	155802891	+	120	NA	promoter-TSS (NM_025570)	promoter-TSS (NM_025570)	-58	NM_025570	66448	Mm.23825	NM_025570	ENSMUSG00000029066	Mrpl20	2610008D01Rik|4930425I20Rik	mitochondrial ribosomal protein L20	protein-coding
Sanchez_et_al_peak_1207	chr18	35553334	35553527	+	120	NA	promoter-TSS (NR_038073)	promoter-TSS (NR_038073)	20	NR_038073	100503380	Mm.482118	NR_038073	ENSMUSG00000117869	Snhg4	Gm17457	small nucleolar RNA host gene 4	ncRNA
Sanchez_et_al_peak_883	chr15	67177009	67177190	+	120	NA	promoter-TSS (NM_009177)	promoter-TSS (NM_009177)	-217	NM_009177	20442	Mm.248334	NM_009177	ENSMUSG00000013846	St3gal1	5330418N22Rik|AI467004|ST3GalI|Siat4|Siat4a|St3gal-1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	protein-coding
Sanchez_et_al_peak_2235	chr7	31000846	31001014	+	120	NA	Intergenic	Intergenic	19009	NM_001242647	76415	Mm.259739	NM_175240	ENSMUSG00000046826	Fam187b	1700020B09Rik|Tmem162	family with sequence similarity 187, member B	protein-coding
Sanchez_et_al_peak_57	chr1	87947961	87948117	+	120	NA	intron (NM_001033291, intron 27 of 27)	intron (NM_001033291, intron 27 of 27)	60512	NM_001198573	227334	Mm.80484	NM_001033291	ENSMUSG00000005501	Usp40	B230215L03Rik|C730029K03	ubiquitin specific peptidase 40	protein-coding
Sanchez_et_al_peak_906	chr15	79041133	79041276	+	120	NA	promoter-TSS (NM_015738)	promoter-TSS (NM_015738)	-681	NM_015738	14429	Mm.390805	NM_015738	ENSMUSG00000114755	Galr3	Galnr3	galanin receptor 3	protein-coding
Sanchez_et_al_peak_2662	chrX	20658138	20658293	+	120	NA	promoter-TSS (NM_009457)	promoter-TSS (NM_009457)	-87	NM_001276316	22201	Mm.1104	NM_009457	ENSMUSG00000001924	Uba1	A1S9|Sbx|Ube-1|Ube1x	ubiquitin-like modifier activating enzyme 1	protein-coding
Sanchez_et_al_peak_1529	chr2	164523369	164523667	+	120	NA	Intergenic	RLTR44B|LTR|ERVK	25993	NM_001362645	78928	Mm.28228	NM_133779	ENSMUSG00000017721	Pigt	2510012P17Rik|4930534E15Rik|CGI-06|NDAP|Ndap7	phosphatidylinositol glycan anchor biosynthesis, class T	protein-coding
Sanchez_et_al_peak_113	chr1	160911550	160911761	+	120	NA	intron (NM_001024952, intron 1 of 19)	ID_B1|SINE|B4	5244	NM_001024952	381305	Mm.329667	NM_001024952	ENSMUSG00000040423	Rc3h1	5730557L09Rik|Gm551|N28103|mKIAA2025	RING CCCH (C3H) domains 1	protein-coding
Sanchez_et_al_peak_536	chr12	3982319	3982521	+	120	NA	intron (NM_001082483, intron 8 of 22)	intron (NM_001082483, intron 8 of 22)	27475	NM_001278583	18976	Mm.277996	NM_008895	ENSMUSG00000020660	Pomc	ACTH|BE|Beta-LPH|Clip|Gamma-LPH|Npp|Pomc-1|Pomc1|alpha-MSH|alphaMSH|beta-MSH|gamma-MSH	pro-opiomelanocortin-alpha	protein-coding
Sanchez_et_al_peak_2175	chr6	135200247	135200714	+	120	NA	intron (NM_001362111, intron 1 of 12)	intron (NM_001362111, intron 1 of 12)	2380	NM_001362111	74525	Mm.34182	NM_028982	ENSMUSG00000030207	Fam234b	8430419L09Rik|mKIAA1467	family with sequence similarity 234, member B	protein-coding
Sanchez_et_al_peak_2568	chr9	59959324	59959502	+	120	NA	TTS (NM_001101600)	TTS (NM_001101600)	8119	NM_001101600	665389	Mm.335214	NM_001101600		Gm7616	EG665389	predicted gene 7616	protein-coding
Sanchez_et_al_peak_1396	chr2	30093847	30094116	+	120	NA	promoter-TSS (NM_025428)	promoter-TSS (NM_025428)	-346	NM_001037762	66220	Mm.22538	NM_025428	ENSMUSG00000015335	Zdhhc12	1190004A01Rik	zinc finger, DHHC domain containing 12	protein-coding
Sanchez_et_al_peak_998	chr16	22741708	22741885	+	120	NA	Intergenic	Intergenic	69614	NM_009967	12970	Mm.6253	NM_009967	ENSMUSG00000033501	Crygs	AI327013|Opj|rncat	crystallin, gamma S	protein-coding
Sanchez_et_al_peak_839	chr15	36279989	36280182	+	120	NA	intron (NM_001357631, intron 1 of 7)	B2_Mm2|SINE|B2	3062	NM_013923	30945	Mm.5181	NM_013923	ENSMUSG00000022280	Rnf19a	AA032313|Dorfin|Rnf19|UIP117|Ubce7ip2|XYbp	ring finger protein 19A	protein-coding
Sanchez_et_al_peak_1129	chr17	39848409	39848805	+	120	NA	non-coding (NR_046233, exon 1 of 1)	non-coding (NR_046233, exon 1 of 1)	5610	NR_046233	100861531		NR_046233		Rn45s	-	45S pre-ribosomal RNA	rRNA
Sanchez_et_al_peak_486	chr11	106999414	106999581	+	120	NA	promoter-TSS (NM_010655)	promoter-TSS (NM_010655)	28	NM_010655	16647	Mm.12508	NM_010655	ENSMUSG00000018362	Kpna2	2410044B12Rik|IPOA1|PTAC58|Rch1	karyopherin (importin) alpha 2	protein-coding
Sanchez_et_al_peak_1838	chr4	155563741	155563872	+	120	NA	promoter-TSS (NM_001159637)	promoter-TSS (NM_001159637)	-9	NM_001159637	192185	Mm.28347	NM_138671	ENSMUSG00000029063	Nadk	4432404C02Rik|BC004012	NAD kinase	protein-coding
Sanchez_et_al_peak_2209	chr7	19824393	19824612	+	120	NA	Intergenic	Intergenic	-1747	NM_033601	12051	Mm.439658	NM_033601	ENSMUSG00000053175	Bcl3	AI528691|Bcl-3	B cell leukemia/lymphoma 3	protein-coding
Sanchez_et_al_peak_609	chr12	87443227	87443466	+	120	NA	promoter-TSS (NM_026958)	promoter-TSS (NM_026958)	493	NM_001102565	211064	Mm.486235	NM_001102565	ENSMUSG00000079036	Alkbh1	2700073G19Rik|Abh|Alkbh|alkB|hABH	alkB homolog 1, histone H2A dioxygenase	protein-coding
Sanchez_et_al_peak_1195	chr18	14683258	14683436	+	120	NA	promoter-TSS (NM_009280)	promoter-TSS (NM_009280)	-433	NM_009280	268996	Mm.31761	NM_009280	ENSMUSG00000037013	Ss18	D130059H17|Ssxt|Syt	SS18, nBAF chromatin remodeling complex subunit	protein-coding
Sanchez_et_al_peak_31	chr1	52578542	52578723	+	120	NA	intron (NR_151614, intron 2 of 5)	intron (NR_151614, intron 2 of 5)	1660	NR_151614	102634661	Mm.337881	NR_151614	ENSMUSG00000099878	Gm28178	-	predicted gene 28178	ncRNA
Sanchez_et_al_peak_1314	chr19	36704795	36705057	+	120	NA	Intergenic	Intergenic	-15447	NR_033510	668215	Mm.394223	NR_033510	ENSMUSG00000087579	Hectd2os	1500017E21Rik	Hectd2, opposite strand	ncRNA
Sanchez_et_al_peak_2618	chr9	89704832	89705044	+	120	NA	5' UTR (NM_025360, exon 1 of 3)	5' UTR (NM_025360, exon 1 of 3)	105	NM_025360	66111	Mm.27606	NM_025360	ENSMUSG00000032353	Tmed3	1200002G13Rik|AW546672|P24b	transmembrane p24 trafficking protein 3	protein-coding
Sanchez_et_al_peak_2010	chr6	8777411	8777683	+	120	NA	intron (NM_010492, intron 1 of 13)	intron (NM_010492, intron 1 of 13)	937	NM_010492	15893	Mm.275683	NM_010492	ENSMUSG00000062995	Ica1	69kDa|ICA69	islet cell autoantigen 1	protein-coding
Sanchez_et_al_peak_1272	chr19	5024024	5024382	+	120	NA	5' UTR (NM_007854, exon 1 of 12)	5' UTR (NM_007854, exon 1 of 12)	197	NM_007854	13340	Mm.4930	NM_007854	ENSMUSG00000024891	Slc29a2	Der12|Ent2|Hnp36	solute carrier family 29 (nucleoside transporters), member 2	protein-coding
Sanchez_et_al_peak_2303	chr7	97371692	97371973	+	120	NA	intron (NM_199035, intron 1 of 12)	intron (NM_199035, intron 1 of 12)	215	NM_199035	381903	Mm.279683	NM_199035	ENSMUSG00000035704	Alg8	AI447372|Gm1089	asparagine-linked glycosylation 8 (alpha-1,3-glucosyltransferase)	protein-coding
Sanchez_et_al_peak_81	chr1	130422717	130422909	+	120	NA	promoter-TSS (NR_151525)	promoter-TSS (NR_151525)	-11	NR_151525	102640368		NR_151525	ENSMUSG00000087691	Gm15674	-	predicted gene 15674	ncRNA
Sanchez_et_al_peak_686	chr13	63906570	63906781	+	120	NA	Intergenic	Intergenic	91435	NM_001361124	76251	Mm.186610	NM_023507	ENSMUSG00000021470	Ercc6l2	0610007P08Rik|1700019D06Rik|9330134C04Rik|Rad26l|Sr278	excision repair cross-complementing rodent repair deficiency, complementation group 6 like 2	protein-coding
Sanchez_et_al_peak_454	chr11	96944800	96945013	+	120	NA	promoter-TSS (NM_134021)	promoter-TSS (NM_134021)	760	NR_003293	319371	Mm.436865	NR_003293	ENSMUSG00000078700	D030028A08Rik	-	RIKEN cDNA D030028A08 gene	ncRNA
Sanchez_et_al_peak_2545	chr9	43240067	43240211	+	120	NA	promoter-TSS (NM_178644)	promoter-TSS (NM_178644)	-323	NM_178644	102644	Mm.246479	NM_178644	ENSMUSG00000032014	Oaf	AL024221|D130038B21Rik|D9Ucla1	out at first homolog	protein-coding
Sanchez_et_al_peak_887	chr15	73157626	73157840	+	120	NA	intron (NM_153178, intron 1 of 18)	intron (NM_153178, intron 1 of 18)	27214	NM_153178	239528	Mm.23095	NM_153178	ENSMUSG00000036698	Ago2	1110029L17Rik|2310051F07Rik|AI225898|AL022874|AW546247|Eif2c2|Gerp95|Gm10365|mKIAA4215	argonaute RISC catalytic subunit 2	protein-coding
Sanchez_et_al_peak_950	chr15	98727459	98727694	+	120	NA	promoter-TSS (NM_001357893)	promoter-TSS (NM_001357893)	51	NM_001357893	66120	Mm.30729	NM_024169	ENSMUSG00000003355	Fkbp11	1110002O23Rik|FKBP-11	FK506 binding protein 11	protein-coding
Sanchez_et_al_peak_1544	chr2	172370842	172370992	+	120	NA	promoter-TSS (NM_024199)	promoter-TSS (NM_024199)	-86	NM_024199	67337	Mm.26944	NM_024199	ENSMUSG00000027498	Cstf1	1700057K18Rik|AI788832	cleavage stimulation factor, 3' pre-RNA, subunit 1	protein-coding
Sanchez_et_al_peak_546	chr12	21335991	21336257	+	120	NA	intron (NR_120376, intron 11 of 18)	intron (NR_120376, intron 11 of 18)	19732	NM_026347	67732	Mm.335830	NM_026347	ENSMUSG00000062054	Iah1	1500019E20Rik|4833421E05Rik	isoamyl acetate-hydrolyzing esterase 1 homolog	protein-coding
Sanchez_et_al_peak_1214	chr18	39362566	39362972	+	120	NA	intron (NM_175164, intron 21 of 22)	intron (NM_175164, intron 21 of 22)	126510	NM_008173	14815	Mm.129481	NM_008173	ENSMUSG00000024431	Nr3c1	GR|Grl-1|Grl1	nuclear receptor subfamily 3, group C, member 1	protein-coding
Sanchez_et_al_peak_1778	chr4	133881451	133881671	+	120	NA	intron (NM_001285505, intron 1 of 21)	intron (NM_001285505, intron 1 of 21)	6236	NM_001285505	20111	Mm.301827	NM_009097	ENSMUSG00000003644	Rps6ka1	Mapkapk-1a|Rsk|Rsk-1|Rsk1|S6K-alpha-1|p90-Rsk1|p90Rsk1|p90S6K|p90rsk	ribosomal protein S6 kinase polypeptide 1	protein-coding
Sanchez_et_al_peak_1876	chr5	64505176	64505414	+	120	NA	Intergenic	Intergenic	28287	NR_045413	77382	Mm.366742	NR_045411	ENSMUSG00000105352	C030018K13Rik	-	RIKEN cDNA C030018K13 gene	ncRNA
Sanchez_et_al_peak_2273	chr7	64391976	64392341	+	120	NA	promoter-TSS (NM_026483)	promoter-TSS (NM_026483)	78	NM_026483	67973	Mm.26973	NM_026483	ENSMUSG00000030521	Mphosph10	2810453H10Rik|5730405D16Rik|AI326008	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	protein-coding
Sanchez_et_al_peak_1449	chr2	90745157	90745551	+	120	NA	promoter-TSS (NM_018828)	promoter-TSS (NM_018828)	-204	NM_018828	55935	Mm.489638	NM_018828	ENSMUSG00000008200	Fnbp4	FBP30|Fnbp30|mKIAA1014	formin binding protein 4	protein-coding
Sanchez_et_al_peak_1525	chr2	163901144	163901329	+	120	NA	intron (NM_183023, intron 1 of 5)	intron (NM_183023, intron 1 of 5)	17447	NM_183023	241770	Mm.330760	NM_183023	ENSMUSG00000035226	Rims4	6530406L02|Rim4	regulating synaptic membrane exocytosis 4	protein-coding
Sanchez_et_al_peak_1548	chr2	179762646	179762832	+	120	NA	intron (NM_001316723, intron 2 of 5)	intron (NM_001316723, intron 2 of 5)	213907	NM_001081092	228980	Mm.235542	NM_001081092	ENSMUSG00000039117	Taf4	135kDa|AI450312|TAFII130|TAFII135|Taf2c1|Taf4a	TATA-box binding protein associated factor 4	protein-coding
Sanchez_et_al_peak_1774	chr4	133553072	133553291	+	120	NA	promoter-TSS (NM_011850)	promoter-TSS (NM_011850)	-195	NM_011850	23957	Mm.346759	NM_011850	ENSMUSG00000037583	Nr0b2	SHP|SHP-1|Shp1	nuclear receptor subfamily 0, group B, member 2	protein-coding
Sanchez_et_al_peak_2128	chr6	113427438	113427623	+	120	NA	intron (NM_178373, intron 5 of 5)	B3A|SINE|B2	-8182	NM_001346511	101122	Mm.31204	NM_001033204	ENSMUSG00000051169	Rpusd3	AI527266	RNA pseudouridylate synthase domain containing 3	protein-coding
Sanchez_et_al_peak_271	chr10	117456049	117456217	+	120	NA	Intergenic	Intergenic	-8698	NR_152734	102634600	Mm.399106	NR_152734	ENSMUSG00000112344	Gm32141	-	predicted gene, 32141	ncRNA
Sanchez_et_al_peak_783	chr14	63479309	63479588	+	120	NA	Intergenic	Intergenic	29644	NM_021480	58865	Mm.354229	NM_021480	ENSMUSG00000021953	Tdh	-	L-threonine dehydrogenase	protein-coding
Sanchez_et_al_peak_1141	chr17	47924796	47924984	+	120	NA	promoter-TSS (NM_001110824)	promoter-TSS (NM_001110824)	-258	NM_001110824	74123	Mm.240062	NM_028767	ENSMUSG00000023991	Foxp4	1200010K03Rik|2310007G05Rik|mFKHLA	forkhead box P4	protein-coding
Sanchez_et_al_peak_948	chr15	98616940	98617096	+	120	NA	Intergenic	Intergenic	-9385	NM_007405	11512	Mm.157091	NM_007405	ENSMUSG00000022994	Adcy6	AC6|mKIAA0422	adenylate cyclase 6	protein-coding
Sanchez_et_al_peak_2188	chr7	3704457	3704654	+	120	NA	intron (NM_029767, intron 2 of 4)	CpG-12606	514	NM_029767	76846	Mm.13944	NM_029767	ENSMUSG00000006333	Rps9	3010033P07Rik|AL022771|AL022885	ribosomal protein S9	protein-coding
Sanchez_et_al_peak_1575	chr3	51825621	51825806	+	120	NA	intron (NM_001004176, intron 2 of 4)	intron (NM_001004176, intron 2 of 4)	164534	NM_001310482	211666	Mm.24679	NM_174995	ENSMUSG00000074604	Mgst2	GST2|MGST-II	microsomal glutathione S-transferase 2	protein-coding
Sanchez_et_al_peak_272	chr10	117682691	117682860	+	120	NA	intron (NM_027468, intron 8 of 8)	B3|SINE|B2	27983	NM_010786	17246	Mm.22670	NM_010786	ENSMUSG00000020184	Mdm2	1700007J15Rik|AA415488|Mdm-2	transformed mouse 3T3 cell double minute 2	protein-coding
Sanchez_et_al_peak_204	chr10	69104823	69105114	+	120	NA	Intergenic	Intergenic	-71080	NR_155866	102635787	Mm.412577	NR_155866		Gm33035	-	predicted gene, 33035	ncRNA
Sanchez_et_al_peak_298	chr11	4849715	4849847	+	120	NA	promoter-TSS (NM_001252250)	promoter-TSS (NM_001252250)	-237	NM_001361675	18016	Mm.297109	NM_010898	ENSMUSG00000009073	Nf2	merlin	neurofibromin 2	protein-coding
Sanchez_et_al_peak_2377	chr7	140137569	140137749	+	120	NA	promoter-TSS (NM_199301)	promoter-TSS (NM_199301)	95	NM_199301	212508	Mm.296088	NM_199301	ENSMUSG00000039018	Mtg1	Gm169|Gtpbp7	mitochondrial ribosome-associated GTPase 1	protein-coding
Sanchez_et_al_peak_974	chr16	4558525	4558748	+	120	NA	intron (NM_031182, intron 1 of 6)	CpG	1084	NM_031182	83383	Mm.273210	NM_031182	ENSMUSG00000005718	Tfap4	AI642933|AP-4|D930048N17Rik|Tcfap4|bHLHc41	transcription factor AP4	protein-coding
Sanchez_et_al_peak_857	chr15	44427790	44427942	+	118	NA	promoter-TSS (NM_175009)	promoter-TSS (NM_175009)	-245	NM_175009	223527	Mm.291828	NM_175009	ENSMUSG00000022338	Eny2	1810057B09Rik|6720481I12|DC6|Ey2	ENY2 transcription and export complex 2 subunit	protein-coding
Sanchez_et_al_peak_1487	chr2	133498742	133498890	+	118	NA	Intergenic	Intergenic	-53343	NM_007553	12156	Mm.103205	NM_007553	ENSMUSG00000027358	Bmp2	AI467020|Bmp2a	bone morphogenetic protein 2	protein-coding
Sanchez_et_al_peak_1412	chr2	35132365	35132656	+	116	NA	intron (NM_001290635, intron 1 of 8)	intron (NM_001290635, intron 1 of 8)	276	NM_001290635	26920	Mm.231332	NM_012018	ENSMUSG00000057110	Cntrl	6720467O09Rik|AA968343|Cep1|Cep110|IB3/5|Ma2a8|b2b1468.1Clo|b2b1468Clo	centriolin	protein-coding
Sanchez_et_al_peak_1454	chr2	101924698	101924831	+	116	NA	Intergenic	Intergenic	38502	NM_029635	76501	Mm.330424	NM_029635	ENSMUSG00000027163	Commd9	1810029F08Rik|AA409293	COMM domain containing 9	protein-coding
Sanchez_et_al_peak_142	chr1	181860770	181860915	+	116	NA	Intergenic	Intergenic	-18441	NM_133815	98386	Mm.4538	NM_133815	ENSMUSG00000004880	Lbr	AI505894|C14SR|ic	lamin B receptor	protein-coding
Sanchez_et_al_peak_608	chr12	87442932	87443140	+	116	NA	promoter-TSS (NM_026958)	promoter-TSS (NM_026958)	803	NM_001102565	211064	Mm.486235	NM_001102565	ENSMUSG00000079036	Alkbh1	2700073G19Rik|Abh|Alkbh|alkB|hABH	alkB homolog 1, histone H2A dioxygenase	protein-coding
Sanchez_et_al_peak_2107	chr6	88924942	88925106	+	112	NA	Intergenic	L1ME3G|LINE|L1	22773	NM_011906	24100	Mm.284480	NM_011906	ENSMUSG00000002871	Tpra1	40kDa|Gpr175|Tpra40	transmembrane protein, adipocyte asscociated 1	protein-coding
Sanchez_et_al_peak_2560	chr9	57073647	57073845	+	112	NA	intron (NM_001110351, intron 1 of 21)	intron (NM_001110351, intron 1 of 21)	1706	NM_001110351	20466	Mm.15755	NM_011378	ENSMUSG00000042557	Sin3a	AW553200|Sin3|mKIAA4126|mSin3A	transcriptional regulator, SIN3A (yeast)	protein-coding
Sanchez_et_al_peak_798	chr14	75197817	75198004	+	112	NA	intron (NM_008879, intron 2 of 16)	intron (NM_008879, intron 2 of 16)	-44377	NM_019775	56373	Mm.24242	NM_019775	ENSMUSG00000021999	Cpb2	1110032P04Rik|4930405E17Rik|AI255929|CPR|Cpu|TAFI	carboxypeptidase B2 (plasma)	protein-coding
Sanchez_et_al_peak_257	chr10	96690085	96690263	+	112	NA	Intergenic	Intergenic	73173	NM_007569	12226	Mm.23811	NM_007569	ENSMUSG00000036478	Btg1	AI426953|AW546738	B cell translocation gene 1, anti-proliferative	protein-coding
Sanchez_et_al_peak_852	chr15	38569125	38569321	+	112	NA	intron (NR_045757, intron 2 of 2)	intron (NR_045757, intron 2 of 2)	25711	NR_045757	69679	Mm.416890	NR_045757	ENSMUSG00000102106	2310043O21Rik	-	RIKEN cDNA 2310043O21 gene	ncRNA
Sanchez_et_al_peak_1958	chr5	137333585	137333826	+	112	NA	promoter-TSS (NM_031406)	promoter-TSS (NM_031406)	-123	NM_031406	83704	Mm.235625	NM_031406	ENSMUSG00000037344	Slc12a9	CIP1	solute carrier family 12 (potassium/chloride transporters), member 9	protein-coding
